body_file	title	labels	milestone
01-project-charter.md	Define project charter and non-goals	type:documentation,area:project,priority:P0,release:v0.1.0	v0.1.0
02-minimal-cli.md	Create Python package and minimal CLI	type:feature,area:cli,priority:P0,release:v0.1.0	v0.1.0
03-run-manifest-model.md	Define generic RunManifest model	type:feature,area:data-model,priority:P0,release:v0.1.0	v0.1.0
04-synthetic-manifests.md	Add synthetic valid and invalid manifests	type:testing,area:examples,priority:P0,release:v0.1.0	v0.1.0
05-validation-findings.md	Implement structured validation findings	type:feature,area:validation,priority:P0,release:v0.1.0	v0.1.0
06-yaml-validation-command.md	Implement YAML validation command	type:feature,area:validation,priority:P0,release:v0.1.0	v0.1.0
07-json-report.md	Generate JSON validation report	type:feature,area:reporting,priority:P0,release:v0.1.0	v0.1.0
08-markdown-report.md	Generate Markdown validation report	type:feature,area:reporting,priority:P0,release:v0.1.0	v0.1.0
09-minimal-ro-crate.md	Build minimal RO-Crate 1.2 package	type:feature,area:ro-crate,priority:P0,release:v0.1.0	v0.1.0
10-import-nf-prov.md	Import and preserve an nf-prov crate	type:feature,area:nf-prov,priority:P1,release:v0.1.0	v0.1.0
11-spatial-profile.md	Add spatial-transcriptomics profile	type:feature,area:profiles,priority:P1,release:v0.1.0	v0.1.0
12-continuous-integration.md	Add continuous-integration checks	type:testing,area:ci,priority:P0,release:v0.1.0	v0.1.0
13-secret-scanning.md	Add secret scanning	type:security,area:ci,priority:P0,release:v0.1.0	v0.1.0
14-beginner-tutorial.md	Write beginner tutorial	type:documentation,area:tutorial,priority:P1,release:v0.1.0	v0.1.0
15-version-0-1-demo.md	Prepare version 0.1 demonstration	type:documentation,area:demo,priority:P1,release:v0.1.0	v0.1.0
